Species,Common name,Maximum longevity (yrs)
nubilus,Ozark minnow,4
perpallidus,Peppered shiner,4
petersoni,Coastal shiner,4
procne,Swallowtail shiner,3
rubellus,Rosyface shiner,3
rubricroceus,Saffron shiner,5
semperasper,Roughhead shiner,4
stramineus,Sand shiner,3
texanus,Weed shiner,3
topeka,Topeka shiner,3
volucellus,Mimic shiner,2
humilis,Dwarf altai osman,15
potanini,Altai osman,40
cultratus,Ziege,11
crassilabrum,Fatlips minnow,3
mirabilis,Suckermouth minnow,3
phoxinus,Minnow,13
notatus,Bluntnose minnow,5
promelas,Fathead minnow,2
argentissimus,Woundfin,4
hubbsi,Bluehead shiner,2
lucius,Colorado pikeminnow,12
solitarius,Relict dace,5
atratulus,Blacknose dace,4
cataractae,Longnose dace,5
egregius,Lahontan redside,5
frisii,Kutum,12
rutilus,Roach,14
erythrophthalmus,Pearl roach,19
atromaculatus,Creek chub,8
adloffi,Annual fish,3.7
bellottii,Argentine pearlfish,3
nigripinnis,Blackfin pearlfish,1
furzeri,Turquoise killifish,1.1
guentheri,Gunther's nothobranch,2.3
kilomberoensis,Kilombero,0.8
korthausae,Korthaus' killifish,1.6
kuhntae,Beira killifish,1.2
rachovii,Bluefin notho,1.5
macularius,Desert pupfish,2
radiosus,Owens pupfish,2
tularosa,White sands pupfish,5
catenatus,Northern studfish,5
parvipinnis,California killifish,3
seminolis,Seminole killifish,2
zebrinus,Plains killifish,3
ommata,Pygmy killifish,2
goodei,Bluefin killifish,2
affinis,Mosquitofish,3
reticulata,Guppy,5
occidentalis,Gila topminnow,1
hellerii,Green swordtail,5
atlanticus,Tarpon,55
cyprinoides,Oxeye,44
lucius,Northern pike,30
masquinongy,Muskellunge,30
niger,Chain pickerel,9
pectoralis,Alaska blackfish,8
limi,Central mudminnow,4
saida,Arctic cod,7
brosme,Cusk,20
mustela,Fivebeard rockling,3
gracilis,Saffron cod,12
cimbrius,Fourbeard rockling,9
argenteus,Silvery pout,3
chalcogrammus,Alaska pollock,15
macrocephalus,Pacific cod,18
morhua,Atlantic cod,25
ogac,Greenland cod,12
lota,Burbot,20
aeglefinus,Haddock,20
merlangus,English whiting,20
poutassou,Blue whiting,20
dypterygia,Blue ling,25
macrophthalma,Mediterranean ling,20
blennoides,Greater forkbeard,20
pollachius,European pollock,8
virens,Pollock,25
esmarkii,Norway pout,5
luscus,Pout whiting,4
tenuis,Mud hake,23
pectoralis,Giant grenadier,56
acrolepis,Roughscale rattail,73
rupestris,Rock grenadier,54
berglax,Onion-eye grenadier,25
carinatus,Ridge scaled rattail,19
novaezelandiae,Blue grenadier,25
australis,Southern hake,30
bilinearis,Silver hake,12
gayi,Chilean hake,13
merluccius,European hake,20
productus,North pacific hake,15
quadracus,Fourspine stickleback,3
inconstans,Brook stickleback,2
aculeatus,Alaskan stickleback,8
pungitius,Ninespine stickleback,5
dybowskii,Korean sandeel,1
erectus,"Lined seahorse, or Hudson sea horse",4.7
guttulatus,Sea horse,6
whitei,White's seahorse,5
zosterae,Dwarf seahorse,1
scovelli,Gulf pipefish,3
chanos,Milkfish,15
auriculata,Airbreathing shellear,3
electricus,Electric eel,12.6
americanus,Goosefish,30
budegassa,Black-bellied angler,21
piscatorius,Anglerfish,24
vomerinus,Cape monk,11
forsteri,Yellow-eye mullet,7
labrosus,Thicklipped mullet,25
ramado,Thinlip mullet,10
cephalus,Striped mullet,16
glaciale,Glacier lanterfish,8
risso,Chubby flashlightfish,1
hectoris,Hector's lanternfish,3
leucopsarus,Northern lampfish,8
blacodes,Australian rockling,30
bairdii,Baird's smoothhead,38
elongata,Silverside,16
silus,Atlantic argentine,35
nigrostriata,Black-stripe minnow,1
olidus,Pond smelt,5
pretiosus,Surf smelt,5
villosus,Capelin,10
eperlanus,Smelt,10
mordax,Rainbow smelt,7
altivelis,Ayu,3
thaleichthys,Longfin smelt,3
pacificus,Eulachon,5
maraena,Australian grayling,6
semoni,Australian smelt,2
alosoides,Goldeye,14
tergisus,Mooneye,10
rume,Mormyrids,6
isidori,Mormyrid,29
nigri,African knifefish,11.4
bicirrhosum,Arawana,6.5
hexapterus,Pacific sand lance,8
marinus,Sand eel,10
tobianus,Lesser sand eel,7
testudineus,Climbing perch,8
kingsleyae,Miss Kingsley's climbing perch,8.7
georgianus,Australian ruff,7
trutta,Australian salmon,26
truttacea,Western Australian salmon,9
pholis,Shanny,10
punctatus,Muzzled blenny,4
gattorugine,Tompot blenny,5
brama,Atlantic pomfret,9
steindachneri,Sickle pomfret,8
lyra,European dragonet,7
crysos,Blue runner,11
dentex,White trevally,49
declivis,Greenback horse mackerel,25
japonicus,Japanese jack mackerel,unknown
murphyi,Inca scad,16
novaezelandiae,Yellowtail horse mackerel,25
symmetricus,Jack mackerel,30
pomotis,Mud sunfish,8
rupestris,Rock bass,18
interruptus,Sacramento perch,6
macropterus,Flier,5
auritus,Redbreast sunfish,8
cyanellus,Green sunfish,9
macrochirus,Bluegill,10
marginatus,Dollar sunfish,6
megalotis,Longear sunfish,6
microlophus,Redear sunfish,7
symmetricus,Bantam sunfish,3
dolomieu,Smallmouth bass,26
punctulatus,Spotted bass,7
salmoides,Largemouth bass,23
annularis,White crappie,10
nigromaculatus,Black crappie,15
antarctica,Antarctic butterfish,15
brama,Whario,15
porosa,Silver warehou,15
undecimalis,Common snook,7
niloticus,Snook,7.8
lineolatus,Lined butterflyfish,10
rostratus,Longnosed butterflyfish,10
flavissimus,Longnose butterflyfish,18
spectabilis,Brownbanded morwong,59
macropterus,Tarakihi,50
bimaculatum,Black acara,20
facetum,Chanchito,10
cyanoguttatum,Rio Grande cichlid,5
andersonii,Three spotted tilapia,13
esculentus,Singida tilapia,10
mortimeri,Kariba tilapia,8
mossambicus,Mozambique mouth-breeder,11
niloticus,Nile tilapia,9
philander,Southern mouthbrooder,5
codringtonii,Green happy,7
giardi,Pink happy,7
angusticeps,Thinface cichlid,9
carlottae,Rainbow happy,6
macrocephalus,Purpleface largemouth,6
rendalli,Redbreast tilapia,7
zillii,Redbelly tilapia,7
equiselis,Pompano dolphin,4
hippurus,Common dolphinfish,4
zonatum,Banded pygmy sunfish,3
argenteus,Barred surfperch,9
aggregata,Shiner perch,8
jacksoni,Black perch,10
ellipticum,Silver surfperch,7
telescopus,Telescope cardinal,104
brevilineata,Short-lined escolar,15
solandri,Silver gemfish,16
atun,Atun,10
gracilis,New Zealand slender clingfish,4
hectoris,Hector's clingfish,4
littoreus,Giant clingfish,6
melobesia,Striped clingfish,4
ios,Arrow goby,3
linearis,Crystal goby,1
newberryi,Tidewater goby,1
sigillata,Pygmy goby,0.16
robustum,Code goby,1
niger,Black goby,5
paganellus,Rock goby,10
flavescens,Twospotted goby,2
scorpioides,Diminutive goby,2
lepidus,Bay goby,7
friesii,Fries' goby,11
melanostomus,Round goby,4
lozanoi,Lozano's goby,2
marmoratus,Marbled goby,2
minutus,Freckled goby,3
pictus,Painted goby,2
ephippiatus,Leopard-spotted goby,9
sciurus,Bluestriped grunt,12
chrysoptera,Pigfish,4
antarcticus,Antarctic spiny plunderfish,9
platypterus,Atlantic sailfish,13
nigricans,"Atlantic blue marlin, or Black spearfish",28
exoletus,Rock cook,6
rupestris,Goldsinny wrasse,8
dimidiatus,Cleaner fish,4
bergylta,Ballan wrasse,29
merula,Brown wrasse,17
celidotus,Spotty,7
pulcher,California sheephead,53
melops,Corkwing wrasse,9
onitis,Tautog,34
adspersus,Cunner,6
bifasciatum,Bluehead,3
ciliaris,Bastard trumpeter,33
atkinsoni,Pacific yellowtail emperor,24
genivittatus,Lancer,7
harak,Blackspot emperor,15
lentjan,Pig-face bream,19
mahsena,Sky emperor,27
miniatus,Lipper,22
nebulosus,North-West snapper,27
obsoletus,Orange-striped emperor,14
variegatus,Slender emperor,15
virescens,Blue-gray snapper,21
adetii,Hussar,40
analis,Mutton snapper,29
argentimaculatus,Mangrove jack,18
bohar,Red bass,13
campechanus,Northern red snapper,57
carponotatus,Spanish flag snapper,20
erythropterus,Crimson snapper,8
fulviflamma,Black spot snapper,23
gibbus,Humpback red snapper,18
lutjanus,Bigeye snapper,11
malabaricus,Malabar blood snapper,31
peru,Pacific red snapper,7.2
purpureus,Caribbean red snapper,18
quinquelineatus,Blue-banded sea perch,31
sanguineus,Saddletailed sea perch,13
sebae,Emperor snapper,35
synagris,Lane snapper,10
vitta,Blackstriped snapper,12
chrysurus,Yellowtail snapper,14
filamentosus,Crimson jobfish,18
multidens,Goldbanded jobfish,30
typus,Sharptooth jobfish,11
aurorubens,Vermilion snapper,10
japonicus,Red tilefish,12
microps,Blueline tilefish,15
princeps,Ocean whitefish,13
chamaeleonticeps,Blue tilefish,35
labrax,European seabass,15
americana,White perch,7
chrysops,White bass,9
mississippiensis,Yellow bass,6
saxatilis,Striped bass,30
surmuletus,Red mullet,10
moluccensis,Goldband goatfish,5
japonicus,Japanese threadfin-bream,8
mawsoni,Antarctic toothfish,31
squamifrons,Grey rockcod,19
rossii,Marbled rockcod,16
antarcticum,Antarctic silverfish,20
bernacchii,Emerald rockcod,10
splendens,Siamese fighting fish,2
peelii,Murray cod,48
ambigua,Golden perch,20
novemaculeata,Australian bass,22
clara,Western sand darter,3
asprella,Crystal darter,3
acuticeps,Sharphead darter,3
asprigene,Mud darter,3
barbouri,Teardrop darter,2
blennioides,Greenside darter,5
blennius,Blenny darter,3
caeruleum,Rainbow darter,3
collettei,Creole darter,3
coosae,Coosa darter,3
cragini,Arkansas darter,3
ditrema,Coldwater darter,2
exile,Iowa darter,3
flabellare,Fantail darter,4
fusiforme,Swamp darter,2
gracile,Slough darter,4
juliae,Yoke darter,3
kennicotti,Stripetail darter,3
longimanum,Longfin darter,3
microperca,Least darter,2
moorei,Yellowcheek darter,4
nianguae,Niangua darter,4
nigrum,Johnny darter,4
okaloosae,Okaloosa darter,8
olivaceum,Dirty darter,2
olmstedi,Tessellated darter,4
pallididorsum,Paleback darter,2
proeliare,Cypress darter,2
punctulatum,Stippled darter,4
radiosum,Orangebelly darter,4
rubrum,Bayou darter,3
rufilineatum,Redline darter,4
smithi,Slabrock darter,2
squamiceps,Spottail darter,3
striatulum,Striated darter,2
variatum,Variegate darter,4
zonale,Banded darter,4
flavescens,Yellow perch,12
fluviatilis,Eurasian perch,22
aurantiaca,Tangerine darter,4.5
burtoni,Blotchside logperch,4
caprodes,Logperch,3
evides,Gilt darter,4
macrocephala,Longhead darter,4
maculata,Blackside darter,4
pantherina,Leopard darter,3
phoxocephala,Slenderhead darter,3
rex,Roanoke logperch,6
roanoka,Roanoke darter,3
sciera,Dusky darter,4
shumardi,River darter,3
tanasi,Snail darter,4
vigil,Saddleback darter,2
canadensis,Sauger,18
lucioperca,Zander,16
vitreus,Walleye,29
gunnellus,Rock gunnel,5
fuscus,Taumaka,9
macrochir,King threadfin,20
oxygeneios,Hapuka,60
gigas,Giant sea bass,75
bicolor,Black and gold angelfish,13
flavissima,Lemonpeel angelfish,11
navarchus,Bluegirdled angelfish,15
diacanthus,Royal angelfish,14.5
clarkii,Black clown,11
ephippium,Red saddleback anemonefish,16
melanopus,Black anemonefish,5
saltatrix,Bluefish,9
japonicus,Bulleye,9
canadum,Cobia,15
gibbus,Heavybeak parrotfish,14
frenatus,Bridled parrotfish,20
ghobban,Flame parrotfish,13
psittacus,Palenose parrotfish,5
rubroviolaceus,Bicolor parrotfish,20
grunniens,Freshwater drum,13
japonicus,Southern meagre,30
nobilis,White seabass,20
saturnum,Black croaker,20
nebulosus,Spotted seatrout,18
lineatus,White croaker,15
xanthurus,Spot,4
undulatus,California corbina,8
furnieri,Whitemouth drummer,7
undulatus,Atlantic croaker,5
cromis,Black drum,43
ocellatus,Red drum,50
macdonaldi,Totoaba,15
thazard,Frigate tuna,5
affinis,"Kawakawa, or Little tunny",10
pelamis,Skipjack tuna,12
brachysoma,"Short mackerel, or Indian mackerel",4
sarda,Atlantic bonito,5
japonicus,Chub mackerel,18
scombrus,Atlantic mackerel,17
cavalla,King mackerel,14
maculatus,Spanish mackerel,5
tritor,West African Spanish mackerel,5
alalunga,Albacore,13
albacares,Yellowfin tuna,9
maccoyii,Southern bluefin tuna,20
obesus,Bigeye tuna,11
thynnus,Horse mackerel,15
striata,Black sea bass,20
miniata,Bluespot rockcod,25
areolatus,Areolate grouper,15
chlorostigma,Brownspotted grouper,29
coioides,Orange-spotted grouper,22
drummondhayi,Speckled hind,25
flavolimbatus,Yellowedge grouper,32
marginatus,Dusky grouper,50
niveatus,Snowy grouper,27
striatus,Nassau grouper,16
interstitialis,Yellowmouth grouper,41
phenax,Scamp,21
clathratus,Kelp bass,31
nebulifer,Barred sand bass,31
leopardus,Bluedotted coraltrout,26
scriba,Painted comber,60
punctatus,Spotted whiting,15
ciliata,Sand whiting,22
schomburgkii,Western sand whiting,12
sihama,Northern whiting,7
australis,Surf bream,12
butcheri,Southern black bream,29
probatocephalus,Sheepshead,20
nodosus,Knobbed porgy,17
auratus,Squirefish,35
annularis,Annular seabream,7
sargus,White seabream,21
aureti,West coast seabream,50
bogaraveo,Blackspot seabream,15
aurata,Gilthead seabream,11
cantharus,Black sea bream,15
chrysops,Scup,19
argentea,Pacific barracuda,11
barracuda,Great barracuda,14
lepturus,Atlantic cutlassfish,15
lesleyae,Mottled twister,3
lapillum,Common triplefin,3
varium,Striped triplefin,4
giganteum,Flathead,20
pacificus,Blackbelly eelpout,5
americanus,Ocean pout,18
viviparus,Viviporous blenny,10
agassizii,Spring cavefish,3
subterraneus,Southern cavefish,4
sayanus,Pirate perch,4
omiscomaycus,Trout-perch,4
transmontana,Sand roller,6
maculatus,Hogchoker,6
imperialis,Scaldfish,8
thori,Grohmann's scaldfish,10
crossotus,Fringed flounder,2
californicus,California halibut,30
lethostigma,Southern flounder,8
pentophthalmus,Fivespot flounder,3
stomias,Arrowtooth flounder,15
jordani,Petrale sole,25
cynoglossus,Witch flounder,25
zachirus,Rex sole,24
platessoides,American plaice,30
hippoglossus,Atlantic halibut,90
stenolepis,Pacific halibut,42
isolepis,Butter sole,11
bicoloratus,Stone flounder,12
bilineata,Rock sole,22
aspera,Yellowfin sole,26
ferruginea,Yellowtail flounder,12
kitt,Lemon sole,23
pacificus,Dover sole,45
flesus,European flounder,15
stellatus,Starry flounder,24
platessa,Plaice,50
americanus,Winter flounder,14
hippoglossoides,Greenland halibut,30
plebeia,"New Zealand sand flounder, or Dab",12
maximus,Turbot,26
rhombus,Brill,6
luteum,Solenette,13
variegatus,Thickback sole,14
impar,Adriatic sole,12
lascaris,Atlantic sole,15
solea,Common sole,27
albula,Vendace,10
artedi,Cisco,11
clupeaformis,Lake whitefish,50
hoyi,Bloater,10
kiyi,Kiyi,10
muksun,Muksun,23
nasus,Broad whitefish,15
nigripinnis,Blackfin cisco,14
pidschian,Humpback whitefish,14
pollan,Irish pollan,10
reighardi,Shortnose cisco,8
sardinella,Least cisco,26
zenithicus,Longjaw cisco,11
hucho,Danube salmon,15
taimen,Taimen,16
clarkii,Cutthroat trout,10
gorbuscha,Pink salmon,3
keta,Chum salmon,7
kisutch,Coho salmon,5
mykiss,Steelhead,11
nerka,Sockeye salmon,8
tshawytscha,Chinook salmon,9
coulterii,Pygmy whitefish,9
cylindraceum,Round whitefish,16
gemmifer,Bonneville cisco,6
spilonotus,Bonneville whitefish,8
williamsoni,Mountain whitefish,17
salar,Atlantic salmon,13
trutta,Brown trout,38
alpinus,Arctic char,40
fontinalis,"Brook trout, or Bunnylake brook trout",24
namaycush,Lake trout,50
leucichthys,Inconnu,22
arcticus,Arctic grayling,18
cataphractus,Armed bullhead,3
fimbria,Sablefish,114
aleuticus,Coastrange sculpin,8
asper,Prickly sculpin,7
bairdii,Mottled sculpin,6
carolinae,Banded sculpin,4
cognatus,Slimy sculpin,7
confusus,Shorthead sculpin,6
gobio,Bullhead,5
paulus,Pygmy sculpin,2
poecilopus,Alpine bullhead,8
armatus,Pacific staghorn sculpin,10
octodecemspinosus,Longhorn sculpin,11
quadricornis,Fourhorn sculpin,14
decagrammus,Kelp greenling,12
elongatus,Lingcod,20
richardsoni,Tiger flathead,12
conatus,Deepwater flathead,20
marmoratus,Devilfish,14
percoides,Sea perch,42
volitans,Red firefish,10
aleutianus,Rougheye rockfish,205
alutus,Pacific ocean perch,100
atrovirens,Kelp rockfish,20
auriculatus,Brown rockfish,20
babcocki,Redbanded rockfish,106
borealis,Shortraker rockfish,157
brevispinis,Silvergray rockfish,82
carnatus,Gopher rockfish,30
caurinus,Copper rockfish,55
chlorostictus,Greenspotted rockfish,33
chrysomelas,Black-and-yellow rockfish,22
ciliatus,Dusky rockfish,67
constellatus,Starry rockfish,32
crameri,Darkblotched rockfish,66
dallii,Calico rockfish,12
diploproa,Splitnose rockfish,84
elongatus,Greenstriped rockfish,42
entomelas,Widow rockfish,60
flavidus,Yellowtail rockfish,64
goodei,Chilipepper,27
helvomaculatus,Rosethorn rockfish,87
hopkinsi,Squarespot rockfish,19
jordani,Shortbelly rockfish,31
levis,Cowcod,55
maliger,Quillback rockfish,90
melanops,Black rockfish,50
mentella,Deepwater redfish,75
miniatus,Vermilion rockfish,43
mystinus,Blue rockfish,44
nebulosus,China rockfish,79
nigrocinctus,Tiger rockfish,116
ovalis,Speckled rockfish,37
paucispinis,Bocaccio,50
pinniger,Canary rockfish,84
polyspinis,Northern rockfish,57
proriger,Redstripe rockfish,55
rastrelliger,Grass rockfish,23
reedi,Yellowmouth rockfish,99
rosaceus,Rosy rockfish,14
rosenblatti,Greenblotched rockfish,50
ruberrimus,Rasphead rockfish,118
rubrivinctus,Flag rockfish,18
rufus,Bank rockfish,53
saxicola,Stripetail rockfish,38
serranoides,Olive rockfish,25
variegatus,Harlequin rockfish,47
viviparus,Norway haddock,40
wilsoni,Pygmy rockfish,24
zacentrus,Sharpchin rockfish,58
alascanus,Shortspine thornyhead,115
altivelis,Longspine thornyhead,45
capensis,Cape gurnard,16
cuculus,East Atlantic red gurnard,21
kumu,Bluefin searobin,15
lucernus,Tub gurnard,15
queketti,Lesser gurnard,7
lyra,Lyre gurnard,7
lastoviza,Streaked gurnard,18
barbus,White sea catfish,36
bajad,African catfish,17
punctatus,South American catfish,8.8
fossilis,Stinging catfish,17.5
catus,White catfish,14
melas,Black bullhead,10
natalis,Yellow bullhead,7
platycephalus,Flat bullhead,7
furcatus,Blue catfish,21
punctatus,Channel catfish,16
albater,Ozark madtom,3
eleutherus,Mountain madtom,5
exilis,Slender madtom,4
flavater,Checkered madtom,5
flavipinnis,Yellowfin madtom,4
flavus,Stonecat,9
gilberti,Orangefin madtom,3
gyrinus,Tadpole madtom,3
leptacanthus,Speckled madtom,3
miurus,Brindled madtom,3
nocturnus,Freckled madtom,4
olivaris,Flathead catfish,20
punctatus,Suckermouthed catfish,18
electricus,Electric catfish,10
schall,Upside-down catfish,31
macrocephalus,Cobbler,13
lineatus,Striped eel-catfish,7
glanis,Sheatfish,60
braueri,Brauer's bristlemouth,1
scintillans,Shiny loosejaw,7
macouni,Pacific viperfish,8
mola,Ocean sunfish,unknown
ayraud,Chinaman-leatherjacket,9
richei,Prickly toadfish,7
lineatus,Nile globe-fish,5.9
niger,Black oreo,100
verrucosus,Warty oreo,140
rhomboidalis,Spiky oreo,100
maculatus,Smooth oreo,100
faber,European john dory,12
clavata,Small polyped gorgonian,unknown
nutricula,Immortal jellyfish,unknown
franciscanus,Red sea urchin,200
purpuratus,Purple sea urchin,50
siliqua,Northern propellerclam,105
arctica,Arctic hiatella,15
generosa,Pacific geoduck,168
arenaria,Softshell,28
truncata,Truncate softshell,50
demissa,Ribbed-mussel,24
modiolus,Northern horsemussel,48
californianus,California mussel,3
edulis,Blue mussel,24
galloprovincialis,Mediterranean mussel,20
trossulus,Foolish mussel,13
perna,Mexilhao mussel,6
pernula,Northern nutclam,11
thraciaeformis,Broad yoldia,15
limatula,File yoldia,4
ariakensis,Suminoe oyster,5
gigas,Pacific oyster,7
virginica,Eastern oyster,5
edulis,Edible oyster,16
irradians,Bay scallop,2
islandica,Iceland scallop,35
caurinus,Weathervane scallop,19
magellanicus,Sea scallop,20
margaritifera,Pacific pearl-oyster,5
islandica,Ocean quahog clam,507
borealis,Boreal astarte,unknown
elliptica,Elliptical astarte,20
nuttallii,Nuttall cockle,7
groenlandicus,Greenland smoothcockle,39
fluminea,Asian clam,4
polynyma,Arctic surfclam,60
solidissima,Atlantic surfclam,37
capax,Fat gaper,16
arctatum,Arctic wedgeclam,24
directus,Atlantic jackknife,7
patula,Pacific razor,9
balthica,Baltic macoma,12
calcarea,Chalky macoma,17
flexuosa,Flexuose cleftclam,3.2
gemma,Amethyst gemclam,6
mercenaria,Northern quahog,106
mactroides,Trigonal tivela,2
stultorum,Pismo clam,23
hummelincki,Caribbean two-spot octopus,unknown
officinalis,Common cuttlefish,unknown
dux,Giant squid,35
hamiltoni,Colossal squid,unknown
brevis,Atlantic brief squid,unknown
californica,California seahare,0.6
elegans,Roundworm,0.16
ratti,Strongyloides ratti,1.1
lignano,Macrostomum lignano,1
mediterranea,Schmidtea mediterranea,unknown
polychroa,Schmidtea polychroa,3.6
antarctica,Epibenthic sponge,1550
joubini,Hexactinellid sponge,15000
coli,Escherichia coli,0.01
longaeva,Great Basin bristlecone pine,5062
tortilis,Umbrella thorn,650
digitata,African baobab,2500
biloba,Common ginkgo,1000
albicans,Candida albicans,unknown
cerevisiae,Baker's yeast,0.04
pombe,Fission yeast,unknown
anserina,Filamentous fungus,unknown
